"Año";"Periodo";"Salida";"Entrada"
"2022";"Día 15 de junio";"7.673.467";"2.639.632"
"2022";"Día 16 de junio";"7.727.863";"2.673.655"
"2022";"Día 17 de junio";"7.786.169";"2.707.093"
"2022";"Día 18 de junio";"7.843.040";"2.740.347"
"2022";"Día 19 de junio";"7.899.287";"2.773.190"
"2022";"Día 20 de junio";"7.950.234";"2.804.095"
"2022";"Día 21 de junio";"8.007.014";"2.836.563"
"2022";"Día 22 de junio";"8.069.043";"2.870.156"
"2022";"Día 23 de junio";"8.133.324";"2.905.052"
"2022";"Día 24 de junio";"8.195.757";"2.940.457"
"2022";"Día 25 de junio";"8.257.603";"2.981.551"
"2022";"Día 26 de junio";"8.309.264";"3.023.109"
"2022";"Día 27 de junio";"8.356.169";"3.063.899"
"2022";"Día 28 de junio";"8.402.336";"3.097.412"
